time,load,solar,wind,wind_onshore,wind_offshore,hour,day_of_week,day_of_month,month,is_weekend,is_holiday,load_forecast,temperature,humidity,wind_speed,precipitation,weather_code,temperature_lag_1,humidity_lag_1,temperature_lag_24,humidity_lag_24,load_lag_1,load_lag_24,load_lag_168,rolling_mean_24,rolling_std_24
2020-07-24 16:00:00+00:00,56831.0,6944.0,14262.0,12966.0,1296.0,16,4,24,7,0,0,56075.0,23.0,48,25.5,0.0,3,27.4,29.0,22.3,31.0,57597.0,58076.0,56788.0,53065.708333333336,7784.971997264129
2020-07-24 17:00:00+00:00,55074.0,3288.0,11465.0,10348.0,1117.0,17,4,24,7,0,0,55015.0,23.0,48,20.4,0.0,2,23.0,48.0,22.1,31.0,56831.0,57774.0,55482.0,52953.208333333336,7733.311968244038
2020-07-24 18:00:00+00:00,51730.0,815.0,8249.0,7335.0,914.0,18,4,24,7,0,0,52260.0,21.6,56,16.6,0.0,2,23.0,48.0,21.6,32.0,55074.0,54702.0,53214.0,52829.375,7727.884449876957
2020-07-24 19:00:00+00:00,49564.0,15.0,6374.0,5630.0,744.0,19,4,24,7,0,0,50200.0,20.8,61,10.1,0.0,2,21.6,56.0,19.0,41.0,51730.0,52793.0,50857.0,52694.833333333336,7756.60019465409
2020-07-24 20:00:00+00:00,47013.0,0.0,5900.0,5200.0,701.0,20,4,24,7,0,0,47948.0,19.3,67,8.0,0.0,1,20.8,61.0,17.1,49.0,49564.0,50344.0,48125.0,52556.04166666666,7829.94799515818
2020-07-24 21:00:00+00:00,43785.0,0.0,5480.0,4713.0,767.0,21,4,24,7,0,0,44703.0,18.5,69,9.9,0.0,0,19.3,67.0,15.6,58.0,47013.0,46862.0,44365.0,52427.833333333336,7951.48477612357
2020-07-24 22:00:00+00:00,41191.0,0.0,4611.0,3833.0,778.0,22,4,24,7,0,0,41866.0,17.7,71,10.2,0.0,0,18.5,69.0,15.4,60.0,43785.0,42805.0,41599.0,52360.583333333336,8042.710698766632
2020-07-24 23:00:00+00:00,38962.0,0.0,3855.0,3052.0,803.0,23,4,24,7,0,0,39854.0,17.0,75,10.4,0.0,0,17.7,71.0,15.1,58.0,41191.0,41299.0,39541.0,52263.208333333336,8195.161186197058
2020-07-25 00:00:00+00:00,38467.0,0.0,3317.0,2542.0,776.0,0,5,25,7,1,0,38632.0,16.8,75,7.7,0.0,0,17.0,75.0,14.8,67.0,38962.0,40488.0,38306.0,52179.0,8330.679250973819
2020-07-25 01:00:00+00:00,37446.0,0.0,2784.0,2106.0,678.0,1,5,25,7,1,0,38140.0,15.1,84,6.4,0.0,0,16.8,75.0,14.0,73.0,38467.0,40478.0,38032.0,52052.66666666666,8536.29038495228
2020-07-25 02:00:00+00:00,37788.0,0.0,2614.0,2177.0,437.0,2,5,25,7,1,0,38076.0,14.4,88,6.1,0.0,0,15.1,84.0,13.6,76.0,37446.0,41483.0,37989.0,51898.708333333336,8765.455460668752
2020-07-25 03:00:00+00:00,37895.0,59.0,2956.0,2512.0,444.0,3,5,25,7,1,0,38164.0,13.8,92,6.8,0.0,1,14.4,88.0,13.3,78.0,37788.0,43618.0,37925.0,51660.25,9072.971893390675
2020-07-25 04:00:00+00:00,39508.0,1179.0,3490.0,2868.0,622.0,4,5,25,7,1,0,39041.0,14.7,87,6.2,0.0,2,13.8,92.0,14.0,75.0,37895.0,50041.0,39458.0,51221.375,9403.434561313688
2020-07-25 05:00:00+00:00,42594.0,4362.0,3389.0,2614.0,775.0,5,5,25,7,1,0,42168.0,16.1,79,5.9,0.0,3,14.7,87.0,15.9,67.0,39508.0,54533.0,42489.0,50723.91666666666,9535.49652119868
2020-07-25 06:00:00+00:00,45914.0,9342.0,3420.0,2172.0,1248.0,6,5,25,7,1,0,46154.0,17.5,72,4.9,0.0,1,16.1,79.0,18.1,58.0,42594.0,57865.0,46825.0,50225.958333333336,9458.100018222713
2020-07-25 07:00:00+00:00,48457.0,14917.0,4722.0,2883.0,1839.0,7,5,25,7,1,0,49169.0,19.0,63,4.0,0.0,1,17.5,72.0,20.0,52.0,45914.0,59508.0,50353.0,49765.5,9253.353042099545
2020-07-25 08:00:00+00:00,50640.0,19376.0,7255.0,4788.0,2467.0,8,5,25,7,1,0,51036.0,20.5,55,6.6,0.0,2,19.0,63.0,22.6,43.0,48457.0,61626.0,52218.0,49307.75,8906.345872710139
2020-07-25 09:00:00+00:00,52548.0,21059.0,8985.0,6063.0,2922.0,9,5,25,7,1,0,52050.0,21.0,55,9.7,0.0,2,20.5,55.0,25.2,35.0,50640.0,63037.0,52867.0,48870.708333333336,8448.95597089847
2020-07-25 10:00:00+00:00,52877.0,21133.0,9540.0,6669.0,2871.0,10,5,25,7,1,0,51562.0,21.1,56,6.9,0.0,2,21.0,55.0,26.5,32.0,52548.0,62732.0,52545.0,48460.083333333336,7972.016186618169
2020-07-25 11:00:00+00:00,51569.0,20086.0,10051.0,7121.0,2930.0,11,5,25,7,1,0,49952.0,23.3,49,6.8,0.0,1,21.1,56.0,26.8,31.0,52877.0,61506.0,50899.0,48046.04166666666,7509.631661661707
2020-07-25 12:00:00+00:00,50566.0,18718.0,9667.0,6799.0,2868.0,12,5,25,7,1,0,48477.0,22.9,52,4.2,0.4,51,23.3,49.0,27.0,29.0,51569.0,59401.0,49027.0,47677.91666666666,7136.062072725263
2020-07-25 13:00:00+00:00,49076.0,17315.0,8981.0,5889.0,3092.0,13,5,25,7,1,0,47857.0,23.9,49,3.9,0.2,51,22.9,52.0,27.1,29.0,50566.0,58217.0,47932.0,47297.04166666666,6784.376441046807
2020-07-25 14:00:00+00:00,48655.0,15468.0,8262.0,5195.0,3068.0,14,5,25,7,1,0,47490.0,24.6,46,7.9,0.1,51,23.9,49.0,27.6,29.0,49076.0,58037.0,47264.0,46906.125,6397.921981341882
2020-07-25 15:00:00+00:00,47840.0,11534.0,7617.0,4467.0,3150.0,15,5,25,7,1,0,47572.0,24.5,45,6.5,0.0,3,24.6,46.0,27.4,29.0,48655.0,57597.0,47627.0,46499.583333333336,5985.77668431441
2020-07-25 16:00:00+00:00,47750.0,7123.0,6819.0,3613.0,3206.0,16,5,25,7,1,0,48037.0,24.2,46,3.4,0.1,51,24.5,45.0,23.0,48.0,47840.0,56831.0,47566.0,46121.208333333336,5577.393679761785
2020-07-25 17:00:00+00:00,47077.0,3181.0,6206.0,3004.0,3202.0,17,5,25,7,1,0,47251.0,23.6,51,3.6,0.3,51,24.2,46.0,23.0,48.0,47750.0,55074.0,46441.0,45788.0,5248.456327919214
